,precision,recall,f1-score,support
A,0.995417048579285,1.0,0.9977032613688562,1086.0
B,1.0,0.9953959484346224,0.997692662667282,1086.0
C,0.9953488372093023,0.9852670349907919,0.990282276723739,1086.0
D,1.0,0.9990791896869244,0.9995393827729157,1086.0
E,0.9944802207911684,0.9953959484346224,0.9949378739070408,1086.0
F,0.9954001839926403,0.996316758747698,0.9958582604693971,1086.0
G,0.9963133640552996,0.9953959484346224,0.9958544449562413,1086.0
H,0.9917506874427131,0.996316758747698,0.9940284795590262,1086.0
I,0.9810126582278481,0.9990791896869244,0.989963503649635,1086.0
J,0.996299722479186,0.9917127071823204,0.9940009229349331,1086.0
K,0.9953917050691244,0.994475138121547,0.9949332105020727,1086.0
L,0.9972426470588235,0.9990791896869244,0.9981600735970562,1086.0
M,0.9990783410138249,0.998158379373849,0.9986181483187471,1086.0
N,0.9935304990757856,0.9898710865561694,0.9916974169741697,1086.0
O,0.9881494986326345,0.998158379373849,0.9931287219422813,1086.0
P,1.0,0.9935543278084714,0.9967667436489607,1086.0
Q,0.9990783410138249,0.998158379373849,0.9986181483187471,1086.0
R,0.9963269054178145,0.9990791896869244,0.9977011494252873,1086.0
S,0.9954044117647058,0.9972375690607734,0.9963201471941121,1086.0
T,0.9801084990958409,0.998158379373849,0.9890510948905109,1086.0
U,0.9954044117647058,0.9972375690607734,0.9963201471941121,1086.0
V,1.0,0.9843462246777164,0.9921113689095128,1086.0
W,0.998158379373849,0.998158379373849,0.998158379373849,1086.0
X,0.9972375690607734,0.9972375690607734,0.9972375690607734,1086.0
Y,0.9981360671015843,0.9861878453038674,0.9921259842519684,1086.0
Z,0.9990749306197965,0.994475138121547,0.9967697277341948,1086.0
accuracy,0.9952897010908061,0.9952897010908061,0.9952897010908061,0.9952897010908061
macro avg,0.9953209588015588,0.9952897010908062,0.9952915038594393,28236.0
weighted avg,0.9953209588015589,0.9952897010908061,0.9952915038594392,28236.0
